OrderNumber,ClientName,ProductName,PaymentType,PaymentDate,Currency,ProductQuantity,UnitPrice,TotalPrice
PO0060504-1,MacGyver Inc,Piano,Debit,2021-03-21,GBP,3,4700,14100
PO0060504-2,Howell LLC,Bamboo Flute,Credit,2021-03-17,GBP,1,60,60
PO0060504-3,HOWELL LLC,Harp,Credit,2021-03-17,GBP,2,940,1880
PO0060504-4,HOWELL LLC,Piano,Credit,2021-03-17,GBP,2,4700,9400
PO0060504-5,Howell LLC,Snare Drum,Credit,2021-03-17,GBP,3,350,1050
PO0011111-1,Padberg Inc,Zither,Debit,2021-01-14,GBP,1,2400,2400
PO0011111-2,Padberg Inc,Piano,Debit,2021-01-14,GBP,1,4700,4700
PO0011111-3,Padberg Inc,Steel Drums,Debit,2021-01-14,GBP,7,690,4830
PO0011111-4,Padberg Inc,Kazoo,Debit,2021-01-14,GBP,7,28,196
PO0074849-1,Russel Turner Limited,Piano,Credit,2021-04-10,GBP,4,4700,18800
PO0024697-1,"Quitzon, Luettgen and Waters",Viola,Credit,2021-01-27,GBP,2,2000,4000
PO0024697-2,"Quitzon, Luettgen and Waters",French Horn,Credit,2021-01-27,GBP,1,7400,7400
PO0096358-1,Stanton - Reilly,Crystal Glasses,Credit,2021-02-04,GBP,4,1500,6000
PO0096358-2,Stanton - Reilly,Fiddle,Credit,2021-02-04,GBP,1,950,950
PO0096358-3,Stanton - Reilly,Maracas,Credit,2021-02-04,GBP,3,74,222
PO0013360-1,Rath - Schroeder,Vibraphone,Debit,2021-02-07,GBP,7,8000,56000
PO0013360-2,Rath - Schroeder,Snare Drum,Debit,2021-02-07,GBP,8,350,2800
PO0013360-3,Rath - Schroeder,Acoustic Guitar,Debit,2021-02-07,GBP,2,940,1880
PO0097680-1,"Gleason, Rau and Spinka",Viola,Debit,2021-04-11,GBP,1,2000,2000
PO0097680-2,"Gleason, Rau and Spinka",Keyboard,Debit,2021-04-11,GBP,1,510,510
PO0097680-3,"Gleason, Rau and Spinka",Harp,Debit,2021-04-11,GBP,6,940,5640
PO0097680-4,"Gleason, Rau and Spinka",Fiddle,Debit,2021-04-11,GBP,9,950,8550
PO0097299-1,Zemlak LTD,Bamboo Flute,Credit,2021-03-03,GBP,7,60,420
PO0097299-2,ZEMLAK LTD,Viola,Credit,2021-03-03,GBP,1,2000,2000
PO0097299-3,ZEMLAK LTD,French Horn,Credit,2021-03-03,GBP,6,7400,44400
PO0097299-4,ZEMLAK LTD,Bass Guitar,Credit,2021-03-03,GBP,5,2500,12500
