ProductName,ProductType,UnitPrice
Piano,Keyboard,4700
Bamboo Flute,Woodwind,60
Harp,String,940
Piano,Keyboard,4700
Snare Drum,Percussion,350
Zither,String,2400
Piano,Keyboard,4700
Steel Drums,Percussion,690
Kazoo,Percussion,28
Piano,Keyboard,4700
Viola,String,2000
French Horn,Brass,7400
Crystal Glasses,Mics,1500
Fiddle,String,950
Maracas,Percussion,74
Vibraphone,Percussion,8000
Snare Drum,Percussion,350
Acoustic Guitar,String,940
Viola,String,2000
Keyboard,Keyboard,510
Harp,String,940
Fiddle,String,950
Bamboo Flute,Woodwind,60
Viola,String,2000
French Horn,Brass,7400
Bass Guitar,String,2500
Bass Guitar,String,2500
